dstc2100,dstc2,100,97,3,97.0000,3.0000
dstc2200,dstc2,200,197,3,98.5000,1.5000
dstc2300,dstc2,300,297,3,99.0000,1.0000
dstc2500,dstc2,500,497,3,99.4000,0.6000
dstc2600,dstc2,600,597,3,99.5000,0.5000
dstc2700,dstc2,700,697,3,99.5714,0.4286
dstc2800,dstc2,800,797,3,99.6250,0.3750
dstc2900,dstc2,900,897,3,99.6667,0.3333
dstc21000,dstc2,1000,997,3,99.7000,0.3000
dstc3100,dstc3,100,97,3,97.0000,3.0000
dstc3200,dstc3,200,197,3,98.5000,1.5000
dstc3300,dstc3,300,297,3,99.0000,1.0000
dstc3500,dstc3,500,497,3,99.4000,0.6000
dstc3600,dstc3,600,597,3,99.5000,0.5000
dstc3700,dstc3,700,697,3,99.5714,0.4286
dstc3800,dstc3,800,797,3,99.6250,0.3750
dstc3900,dstc3,900,897,3,99.6667,0.3333
dstc31000,dstc3,1000,997,3,99.7000,0.3000
family100,family,100,97,3,97.0000,3.0000
family200,family,200,197,3,98.5000,1.5000
family300,family,300,297,3,99.0000,1.0000
family500,family,500,497,3,99.4000,0.6000
family600,family,600,597,3,99.5000,0.5000
family700,family,700,697,3,99.5714,0.4286
family800,family,800,797,3,99.6250,0.3750
family900,family,900,897,3,99.6667,0.3333
family1000,family,1000,997,3,99.7000,0.3000
ghome100,ghome,100,97,3,97.0000,3.0000
ghome200,ghome,200,197,3,98.5000,1.5000
ghome300,ghome,300,297,3,99.0000,1.0000
ghome500,ghome,500,496,4,99.2000,0.8000
ghome600,ghome,600,596,4,99.3333,0.6667
ghome700,ghome,700,696,4,99.4286,0.5714
ghome800,ghome,800,796,4,99.5000,0.5000
ghome900,ghome,900,896,4,99.5556,0.4444
ghome1000,ghome,1000,996,4,99.6000,0.4000
