id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
22361,7,b'7-syntactic_feature__subj_word__next_system_utterance__i',1931.1082,0,1.0000,0
95,5,b'5-phrase_feature__next_noun_phrases__jaccard_similarity',0.0000,2443,0.8547,1
94,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,2442,0.7177,2
8480,5,b'5-phrase_feature__noun_phrases__next_system_utterance__minutes',103.8777,51,0.6438,3
30105,11.2.1,b'11.2.1-skipthought_similarity.next_user_utterance_pairs__cosine',0.0000,3638,0.3387,4
11278,5,b'5-phrase_feature__noun_phrases__next_system_utterance__turning',240.5849,13,0.2310,5
25687,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1341',0.0000,1514,0.1855,6
25728,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,1417,0.1818,7
26831,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2371',0.0000,6192,0.1680,8
21202,7,b'7-syntactic_feature__root_word__next_system_utterance__tell',293.9360,7,0.1595,9
93,5,b'5-phrase_feature__next_noun_phrases__#overlap',0.0000,2441,0.1517,10
20964,7,b'7-syntactic_feature__root_word__next_system_utterance__need',165.1823,20,0.1409,11
25802,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1445',0.0000,1772,0.1399,12
26859,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2397',0.0000,6163,0.1390,13
26755,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2302',0.0000,6342,0.1389,14
28860,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2037',0.0000,3672,0.1258,15
27049,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=408',0.0000,5499,0.1198,16
5817,5,b'5-phrase_feature__noun_phrases__next_system_utterance__device',289.4626,8,0.1174,17
18571,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,2449,0.1147,18
20754,7,b'7-syntactic_feature__root_word__next_system_utterance__find',92.2110,59,0.1137,19
25984,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1609',0.0000,1731,0.1119,20
20924,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,19,0.1109,21
44,3,b'3-time_feature__end_of_session',110.1752,41,0.1107,22
26270,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1867',0.0000,1346,0.1107,23
27337,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=668',0.0000,5788,0.1097,24
21270,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,54,0.1090,25
23219,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,2710,0.1044,26
26531,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2100',0.0000,6119,0.1005,27
23147,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1215',0.0000,2637,0.0989,28
23978,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1964',0.0000,3300,0.0968,29
26182,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1788',0.0000,978,0.0957,30
67,2.1,b'2.1-user_action_words.next_user_utterance__play',109.6144,44,0.0940,31
25689,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1343',0.0000,1435,0.0935,32
25882,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1517',0.0000,1822,0.0933,33
21236,7,b'7-syntactic_feature__root_word__next_system_utterance__tri',150.5583,24,0.0925,34
19309,7,b'7-syntactic_feature__obj_word__next_system_utterance__me',309.9814,6,0.0914,35
16967,6,b'6-entity_feature__entity__next_system_utterance__eastern_MISC',125.8770,33,0.0913,36
28115,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1367',0.0000,6765,0.0907,37
24435,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2375',0.0000,2807,0.0889,38
25948,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1577',0.0000,1639,0.0853,39
26098,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,1174,0.0843,40
24072,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2048',0.0000,3618,0.0819,41
26108,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1720',0.0000,1128,0.0812,42
25701,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1354',0.0000,1447,0.0772,43
27526,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=838',0.0000,6830,0.0763,44
25902,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1535',0.0000,1817,0.0745,45
28435,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1655',0.0000,4100,0.0739,46
25412,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1094',0.0000,488,0.0737,47
28910,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2082',0.0000,3665,0.0723,48
23704,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1717',0.0000,2077,0.0720,49
28538,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1748',0.0000,4488,0.0720,50
25787,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1431',0.0000,1477,0.0706,51
23191,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1255',0.0000,2737,0.0671,52
25805,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1448',0.0000,1775,0.0662,53
20906,7,b'7-syntactic_feature__root_word__next_system_utterance__learn',195.9882,17,0.0635,54
26213,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1815',0.0000,1065,0.0630,55
26564,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2130',0.0000,6095,0.0626,56
26811,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2353',0.0000,6172,0.0612,57
23763,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1770',0.0000,2136,0.0602,58
27230,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=571',0.0000,5907,0.0599,59
21616,7,b'7-syntactic_feature__root_word__next_user_utterance__play',105.8380,47,0.0594,60
25570,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1236',0.0000,367,0.0589,61
27156,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=504',0.0000,5834,0.0583,62
25897,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1530',0.0000,1812,0.0577,63
24421,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2362',0.0000,2849,0.0570,64
26975,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=341',0.0000,5596,0.0568,65
23792,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1797',0.0000,3338,0.0565,66
25865,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1501',0.0000,1835,0.0564,67
26789,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2333',0.0000,6320,0.0554,68
29023,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2184',0.0000,4006,0.0548,69
26384,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=197',0.0000,1195,0.0540,70
25789,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1433',0.0000,1479,0.0534,71
28906,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2079',0.0000,3661,0.0527,72
29033,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2193',0.0000,4072,0.0517,73
26401,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1985',0.0000,1198,0.0516,74
28813,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1996',0.0000,3852,0.0514,75
27983,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1248',0.0000,6377,0.0513,76
29189,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2333',0.0000,3945,0.0511,77
25998,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1621',0.0000,1689,0.0501,78
10107,5,b'5-phrase_feature__noun_phrases__next_system_utterance__saying',230.8416,15,0.0500,79
26809,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2351',0.0000,6254,0.0499,80
28897,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2070',0.0000,3652,0.0496,81
29261,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2399',0.0000,5210,0.0495,82
25611,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1273',0.0000,1525,0.0494,83
8651,5,b'5-phrase_feature__noun_phrases__next_system_utterance__name',201.1263,16,0.0490,84
24264,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2220',0.0000,2860,0.0488,85
24135,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2104',0.0000,3457,0.0487,86
26699,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2252',0.0000,6287,0.0486,87
29095,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2249',0.0000,3908,0.0486,88
26376,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1962',0.0000,1229,0.0485,89
26396,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1980',0.0000,1193,0.0485,90
26861,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2399',0.0000,6165,0.0485,91
25730,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1380',0.0000,1420,0.0479,92
23299,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1352',0.0000,2622,0.0474,93
28144,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1393',0.0000,6794,0.0473,94
27320,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=652',0.0000,5687,0.0473,95
26777,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2322',0.0000,6364,0.0472,96
24210,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2172',0.0000,3477,0.0472,97
24007,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1990',0.0000,3273,0.0470,98
26493,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2067',0.0000,6081,0.0468,99
23879,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1875',0.0000,3369,0.0467,100
26979,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=345',0.0000,5573,0.0465,101
24219,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2180',0.0000,3485,0.0459,102
23782,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1788',0.0000,2155,0.0457,103
27019,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=381',0.0000,5640,0.0454,104
26363,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1950',0.0000,1216,0.0454,105
27036,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=397',0.0000,5571,0.0450,106
29192,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2336',0.0000,3948,0.0450,107
28942,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2110',0.0000,3723,0.0448,108
26621,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2182',0.0000,5924,0.0447,109
25724,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1375',0.0000,1414,0.0447,110
28145,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1394',0.0000,6781,0.0445,111
26710,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2262',0.0000,6297,0.0442,112
28395,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1619',0.0000,4288,0.0439,113
26230,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1830',0.0000,1014,0.0436,114
27378,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=704',0.0000,6368,0.0434,115
25369,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1055',0.0000,445,0.0434,116
28442,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1661',0.0000,4107,0.0431,117
24317,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2269',0.0000,2927,0.0429,118
25826,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1467',0.0000,1754,0.0419,119
28155,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1402',0.0000,6777,0.0419,120
26145,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1754',0.0000,997,0.0418,121
24457,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2395',0.0000,2969,0.0414,122
25864,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1500',0.0000,1834,0.0412,123
26472,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2048',0.0000,6060,0.0412,124
23769,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1776',0.0000,2142,0.0408,125
26225,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1826',0.0000,1021,0.0398,126
26053,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1671',0.0000,1073,0.0394,127
26693,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2247',0.0000,5996,0.0393,128
43,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,2440,0.0393,129
26740,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=229',0.0000,6271,0.0392,130
26161,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1769',0.0000,971,0.0390,131
26143,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1752',0.0000,995,0.0389,132
27266,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=603',0.0000,5717,0.0387,133
27381,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=707',0.0000,6969,0.0386,134
26354,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1942',0.0000,1321,0.0386,135
23985,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1970',0.0000,3251,0.0385,136
24406,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2349',0.0000,2834,0.0384,137
24246,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2204',0.0000,2886,0.0384,138
28846,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2024',0.0000,3829,0.0381,139
27720,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1010',0.0000,7081,0.0377,140
23421,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1462',0.0000,2061,0.0376,141
26364,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1951',0.0000,1217,0.0373,142
26263,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1860',0.0000,1339,0.0370,143
29241,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2380',0.0000,5134,0.0370,144
26385,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1970',0.0000,1207,0.0369,145
20807,7,b'7-syntactic_feature__root_word__next_system_utterance__help',237.1259,14,0.0365,146
23165,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1231',0.0000,2655,0.0365,147
36,2.1,b'2.1-user_action_words.current_user_utterance__timer',88.1845,63,0.0364,148
26203,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1806',0.0000,1054,0.0362,149
23863,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1860',0.0000,3409,0.0361,150
23937,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1927',0.0000,3203,0.0359,151
26399,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1983',0.0000,1196,0.0357,152
24402,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2345',0.0000,2829,0.0357,153
26275,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1871',0.0000,1295,0.0351,154
24767,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=514',0.0000,681,0.0348,155
23833,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1833',0.0000,3323,0.0346,156
20895,7,b'7-syntactic_feature__root_word__next_system_utterance__know',726.7511,3,0.0342,157
28957,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2124',0.0000,3712,0.0338,158
26511,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2083',0.0000,6042,0.0337,159
26595,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2159',0.0000,5943,0.0334,160
25785,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=143',0.0000,1475,0.0331,161
26432,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2011',0.0000,1285,0.0329,162
25884,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1519',0.0000,1799,0.0328,163
28785,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1970',0.0000,3768,0.0327,164
23238,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1298',0.0000,2561,0.0325,165
27315,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=648',0.0000,5709,0.0323,166
26064,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1681',0.0000,1084,0.0323,167
47,3,b'3-time_feature__turns_from_start',1855.8406,1,0.0322,168
24420,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2361',0.0000,2848,0.0321,169
25656,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1313',0.0000,1614,0.0321,170
26253,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1851',0.0000,1329,0.0319,171
23774,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1780',0.0000,2147,0.0317,172
27486,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=801',0.0000,7017,0.0316,173
18572,7,b'7-syntactic_feature__next_subj_words_overlap',0.0000,2450,0.0316,174
23657,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1675',0.0000,2254,0.0316,175
23448,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1487',0.0000,2044,0.0315,176
26633,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2193',0.0000,5936,0.0314,177
27377,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=703',0.0000,6367,0.0314,178
26172,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1779',0.0000,968,0.0312,179
26069,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1686',0.0000,1089,0.0312,180
26662,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2219',0.0000,6022,0.0311,181
6239,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',178.1834,18,0.0311,182
25380,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1065',0.0000,425,0.0310,183
26880,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=256',0.0000,6240,0.0308,184
23320,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1371',0.0000,2587,0.0308,185
8631,5,b'5-phrase_feature__noun_phrases__next_system_utterance__music_library',105.0964,49,0.0306,186
25625,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1286',0.0000,1539,0.0304,187
26824,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2365',0.0000,6185,0.0303,188
10305,5,b'5-phrase_feature__noun_phrases__next_system_utterance__similar_mix',105.0964,48,0.0303,189
23475,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1510',0.0000,1903,0.0302,190
23578,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1603',0.0000,2230,0.0300,191
29224,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2365',0.0000,5147,0.0297,192
26294,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1889',0.0000,1314,0.0293,193
26093,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1707',0.0000,1169,0.0293,194
29230,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2370',0.0000,5123,0.0292,195
23987,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1972',0.0000,3253,0.0292,196
25458,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1135',0.0000,479,0.0291,197
25844,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1483',0.0000,1758,0.0291,198
27541,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=851',0.0000,6845,0.0289,199
24157,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2124',0.0000,3424,0.0285,200
26894,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=269',0.0000,6226,0.0281,201
26690,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2244',0.0000,5993,0.0280,202
28667,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1864',0.0000,4333,0.0280,203
23611,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1633',0.0000,2207,0.0280,204
23499,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1532',0.0000,1871,0.0279,205
25508,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1180',0.0000,305,0.0275,206
23171,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1237',0.0000,2689,0.0275,207
23257,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1314',0.0000,2524,0.0274,208
28036,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1296',0.0000,6430,0.0274,209
26179,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1785',0.0000,975,0.0273,210
29319,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=291',0.0000,5042,0.0273,211
28708,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1900',0.0000,4431,0.0273,212
24271,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2227',0.0000,2867,0.0272,213
23217,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1279',0.0000,2708,0.0270,214
28895,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2069',0.0000,3650,0.0270,215
23679,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1695',0.0000,2108,0.0267,216
28216,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1458',0.0000,6611,0.0267,217
27581,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=888',0.0000,6885,0.0267,218
28132,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1382',0.0000,6810,0.0266,219
23544,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1573',0.0000,1916,0.0266,220
26205,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1808',0.0000,1057,0.0266,221
24684,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=44',0.0000,654,0.0265,222
27631,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=932',0.0000,7207,0.0265,223
28919,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2090',0.0000,3731,0.0263,224
27086,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=441',0.0000,5479,0.0263,225
23656,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1674',0.0000,2253,0.0262,226
23254,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1311',0.0000,2549,0.0260,227
28228,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1469',0.0000,6651,0.0260,228
2464,5,b'5-phrase_feature__noun_phrases__current_user_utterance__open_netflix',125.8770,31,0.0260,229
23916,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1908',0.0000,3238,0.0259,230
29268,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=245',0.0000,5216,0.0259,231
26387,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1972',0.0000,1184,0.0259,232
28973,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2139',0.0000,4013,0.0258,233
28850,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2028',0.0000,3833,0.0257,234
23889,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1884',0.0000,3379,0.0256,235
25435,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1114',0.0000,481,0.0256,236
24259,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2216',0.0000,2899,0.0256,237
25746,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1395',0.0000,1492,0.0254,238
27312,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=645',0.0000,5706,0.0253,239
27078,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=434',0.0000,5471,0.0253,240
26805,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2348',0.0000,6336,0.0251,241
26413,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1996',0.0000,1265,0.0250,242
25649,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1307',0.0000,1619,0.0250,243
28641,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1840',0.0000,4352,0.0250,244
28546,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1755',0.0000,4439,0.0249,245
28021,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1282',0.0000,6472,0.0249,246
29488,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=443',0.0000,5437,0.0247,247
29132,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2282',0.0000,3888,0.0247,248
25459,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1136',0.0000,480,0.0247,249
28705,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1899',0.0000,4428,0.0246,250
26041,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1660',0.0000,1117,0.0246,251
23427,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1468',0.0000,2023,0.0246,252
23952,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1940',0.0000,3246,0.0246,253
26814,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2356',0.0000,6175,0.0245,254
28845,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2023',0.0000,3828,0.0245,255
28549,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1758',0.0000,4442,0.0245,256
27038,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=399',0.0000,5570,0.0244,257
24069,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2045',0.0000,3615,0.0244,258
29244,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2383',0.0000,5137,0.0243,259
