id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
58,5,b'5-phrase_feature__next_noun_phrases__have_overlap',0.0000,5263,1.0000,0
25,2.3.1,b'2.3.1-action_jaccard_similarity.next_user_utterance_pairs__jaccard_similarity',0.0000,5265,0.2998,1
4223,7,b'7-syntactic_feature__subj_word__next_system_utterance__you',2188.7270,2,0.2473,2
28,3,b'3-time_feature__time_ratio',170.5127,76,0.1703,3
3721,7,b'7-syntactic_feature__root_word__next_system_utterance__is',146.7035,80,0.1267,4
1318,5,b'5-phrase_feature__noun_phrases__next_system_utterance__example',1813.1816,3,0.1055,5
6983,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1254',0.0000,9276,0.0827,6
8176,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2328',0.0000,10198,0.0730,7
1603,5,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode',199.0477,68,0.0697,8
7554,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1769',0.0000,11380,0.0662,9
1828,5,b'5-phrase_feature__noun_phrases__next_system_utterance__thai_food',10.5483,1348,0.0640,10
30,3,b'3-time_feature__turns_to_end',10060.3908,0,0.0638,11
7187,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1438',0.0000,10063,0.0560,12
3298,7,b'7-syntactic_feature__root_word__current_user_utterance__address',94.4334,115,0.0515,13
29,3,b'3-time_feature__turns_from_start',2854.4766,1,0.0513,14
5512,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2090',0.0000,5003,0.0491,15
3936,7,b'7-syntactic_feature__root_word__next_user_utterance__number',78.1672,148,0.0489,16
3169,7,b'7-syntactic_feature__next_root_words_overlap',0.0000,5257,0.0480,17
7991,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2161',0.0000,10269,0.0473,18
3406,7,b'7-syntactic_feature__root_word__current_user_utterance__is',48.1041,269,0.0468,19
3088,6,b'6-entity_feature__entity__next_system_utterance__romsey_LOCATION',63.6785,188,0.0408,20
8138,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2294',0.0000,10077,0.0408,21
5781,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2332',0.0000,9604,0.0388,22
7682,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1884',0.0000,11431,0.0387,23
