dstc2100,dstc2,100,34,66,34.0000,66.0000
dstc2200,dstc2,200,49,151,24.5000,75.5000
dstc2300,dstc2,300,64,236,21.3333,78.6667
dstc2500,dstc2,500,97,403,19.4000,80.6000
dstc2600,dstc2,600,121,479,20.1667,79.8333
dstc2700,dstc2,700,136,564,19.4286,80.5714
dstc2800,dstc2,800,167,633,20.8750,79.1250
dstc2900,dstc2,900,190,710,21.1111,78.8889
dstc21000,dstc2,1000,208,792,20.8000,79.2000
dstc2100,dstc2,100,34,66,34.0000,66.0000
dstc2200,dstc2,200,49,151,24.5000,75.5000
dstc2300,dstc2,300,64,236,21.3333,78.6667
dstc2500,dstc2,500,98,402,19.6000,80.4000
dstc2600,dstc2,600,121,479,20.1667,79.8333
dstc2700,dstc2,700,136,564,19.4286,80.5714
dstc2800,dstc2,800,168,632,21.0000,79.0000
dstc2900,dstc2,900,190,710,21.1111,78.8889
dstc21000,dstc2,1000,210,790,21.0000,79.0000
dstc3100,dstc3,100,18,82,18.0000,82.0000
dstc3200,dstc3,200,34,166,17.0000,83.0000
dstc3300,dstc3,300,48,252,16.0000,84.0000
dstc3500,dstc3,500,86,414,17.2000,82.8000
dstc3600,dstc3,600,110,490,18.3333,81.6667
dstc3700,dstc3,700,128,572,18.2857,81.7143
dstc3800,dstc3,800,149,651,18.6250,81.3750
dstc3900,dstc3,900,172,728,19.1111,80.8889
dstc31000,dstc3,1000,200,800,20.0000,80.0000
dstc3100,dstc3,100,18,82,18.0000,82.0000
dstc3200,dstc3,200,32,168,16.0000,84.0000
dstc3300,dstc3,300,48,252,16.0000,84.0000
dstc3500,dstc3,500,87,413,17.4000,82.6000
dstc3600,dstc3,600,110,490,18.3333,81.6667
dstc3700,dstc3,700,127,573,18.1429,81.8571
dstc3800,dstc3,800,150,650,18.7500,81.2500
dstc3900,dstc3,900,173,727,19.2222,80.7778
dstc31000,dstc3,1000,199,801,19.9000,80.1000
family100,family,100,42,58,42.0000,58.0000
family200,family,200,66,134,33.0000,67.0000
family300,family,300,89,211,29.6667,70.3333
family500,family,500,121,379,24.2000,75.8000
family600,family,600,135,465,22.5000,77.5000
family700,family,700,143,557,20.4286,79.5714
family800,family,800,158,642,19.7500,80.2500
family900,family,900,171,729,19.0000,81.0000
family1000,family,1000,186,814,18.6000,81.4000
family100,family,100,42,58,42.0000,58.0000
family200,family,200,66,134,33.0000,67.0000
family300,family,300,89,211,29.6667,70.3333
family500,family,500,121,379,24.2000,75.8000
family600,family,600,135,465,22.5000,77.5000
family700,family,700,143,557,20.4286,79.5714
family800,family,800,157,643,19.6250,80.3750
family900,family,900,171,729,19.0000,81.0000
family1000,family,1000,186,814,18.6000,81.4000
ghome100,ghome,100,25,75,25.0000,75.0000
ghome200,ghome,200,35,165,17.5000,82.5000
ghome300,ghome,300,45,255,15.0000,85.0000
ghome500,ghome,500,74,426,14.8000,85.2000
ghome600,ghome,600,92,508,15.3333,84.6667
ghome700,ghome,700,108,592,15.4286,84.5714
ghome800,ghome,800,130,670,16.2500,83.7500
ghome900,ghome,900,144,756,16.0000,84.0000
ghome1000,ghome,1000,162,838,16.2000,83.8000
ghome100,ghome,100,25,75,25.0000,75.0000
ghome200,ghome,200,35,165,17.5000,82.5000
ghome300,ghome,300,45,255,15.0000,85.0000
ghome500,ghome,500,74,426,14.8000,85.2000
ghome600,ghome,600,92,508,15.3333,84.6667
ghome700,ghome,700,108,592,15.4286,84.5714
ghome800,ghome,800,130,670,16.2500,83.7500
ghome900,ghome,900,144,756,16.0000,84.0000
ghome1000,ghome,1000,162,838,16.2000,83.8000
